PERMNO,date,EXCHCD,TICKER,COMNAM,PERMCO,DIVAMT,BIDLO,ASKHI,PRC,VOL,RET,SHROUT,OPENPRC,NUMTRD,RETX,sprtrn
59408,2022-07-22,1,BAC,BANK OF AMERICA CORP,3151,,33.09000,33.94000,33.43000,27115352,-0.006538,8056881,33.60000,,-0.006538,-0.009332
59408,2022-07-25,1,BAC,BANK OF AMERICA CORP,3151,,33.43500,33.97500,33.73000,30380960,0.008974,8056881,33.78000,,0.008974,0.001315
59408,2022-07-26,1,BAC,BANK OF AMERICA CORP,3151,,32.96000,33.78000,33.05000,30645743,-0.020160,8056881,33.41000,,-0.020160,-0.011543
59408,2022-07-27,1,BAC,BANK OF AMERICA CORP,3151,,32.95000,33.77000,33.59000,30344780,0.016339,8056881,33.24000,,0.016339,0.026156
59408,2022-07-28,1,BAC,BANK OF AMERICA CORP,3151,,32.89500,33.75000,33.32000,40176465,-0.008038,8056881,33.50000,,-0.008038,0.012133
59408,2022-07-29,1,BAC,BANK OF AMERICA CORP,3151,,33.35000,33.94000,33.81000,48152531,0.014706,8056881,33.47000,,0.014706,0.014208
59408,2022-08-01,1,BAC,BANK OF AMERICA CORP,3151,,33.22000,33.89000,33.71000,32336671,-0.002958,8056881,33.62000,,-0.002958,-0.002823
59408,2022-08-02,1,BAC,BANK OF AMERICA CORP,3151,,33.00000,33.71990,33.04000,37884135,-0.019875,8056881,33.60000,,-0.019875,-0.006662
59408,2022-08-03,1,BAC,BANK OF AMERICA CORP,3151,,33.16500,33.75000,33.64000,30065776,0.018160,8056881,33.42000,,0.018160,0.015638
59408,2022-08-04,1,BAC,BANK OF AMERICA CORP,3151,,33.17000,33.67000,33.40000,28404453,-0.007134,8056881,33.52000,,-0.007134,-0.000777
59408,2022-08-05,1,BAC,BANK OF AMERICA CORP,3151,,33.23500,34.33000,33.96000,35874544,0.016766,8056881,33.28000,,0.016766,-0.001626
59408,2022-08-08,1,BAC,BANK OF AMERICA CORP,3151,,33.45000,34.29000,33.49000,33474410,-0.013840,8056881,34.17000,,-0.013840,-0.001238
59408,2022-08-09,1,BAC,BANK OF AMERICA CORP,3151,,33.41000,33.96000,33.92000,40196923,0.012840,8056881,33.65000,,0.012840,-0.004249
59408,2022-08-10,1,BAC,BANK OF AMERICA CORP,3151,,34.45000,35.43000,35.07000,61415796,0.033903,8056881,34.50000,,0.033903,0.021291
59408,2022-08-11,1,BAC,BANK OF AMERICA CORP,3151,,35.64500,36.06000,35.91000,50420767,0.023952,8056881,35.77000,,0.023952,-0.000705
59408,2022-08-12,1,BAC,BANK OF AMERICA CORP,3151,,35.69330,36.31000,36.30000,31821682,0.010860,8056881,36.16000,,0.010860,0.017322
59408,2022-08-15,1,BAC,BANK OF AMERICA CORP,3151,,35.67000,36.30000,36.25000,24907959,-0.001377,8056881,35.84000,,-0.001377,0.003969
59408,2022-08-16,1,BAC,BANK OF AMERICA CORP,3151,,36.10000,36.94000,36.64000,31870170,0.010759,8056881,36.19000,,0.010759,0.001876
59408,2022-08-17,1,BAC,BANK OF AMERICA CORP,3151,,36.08000,36.59000,36.41000,27125579,-0.006277,8056881,36.20000,,-0.006277,-0.007238
